,PredictedValueExtensiveModel
1757,-641809.4
1758,971832.06
1759,1153952.2
1760,-103385.8
1761,848081.25
1762,-466890.06
1763,-1085941.2
1764,84284.63
1765,1383902.6
1766,1105570.1
1768,1077565.4
1769,499559.38
1771,3712028.0
1772,515767.44
1773,-339460.6
1774,2707095.0
1775,531899.4
1776,1043228.9
1777,197391.64
1781,426112.3
1782,595120.5
1783,776759.7
1785,-873135.5
1787,-646404.9
1789,566022.6
1790,-1307.9504
1791,743334.9
1792,-1921516.6
1793,1487800.6
1794,3065571.8
1795,941165.06
1796,755118.75
1798,514483.2
1799,-5600.7725
1800,3531476.2
1801,238739.28
1802,530975.9
1803,1773848.5
1804,885426.7
1805,767541.6
1806,-479863.8
1812,895542.5
1813,1219772.1
1814,2083529.4
1815,977775.2
1816,285082.56
1817,731284.0
1818,-236492.42
1819,114507.65
1820,2360294.5
1821,510501.72
1822,1161678.1
1823,596504.94
1824,1708935.2
1825,2955468.2
1826,454963.47
1827,635162.1
1828,871366.0
1829,883570.75
1830,1019285.44
1831,324038.97
1832,1212092.5
1833,438307.25
1837,870557.25
1838,2390769.8
1839,1016886.5
1840,574946.8
1841,-157116.45
1842,23600.004
1843,535618.44
1844,1317636.5
1845,-492402.25
1846,650693.3
1847,1383084.0
1848,-397486.47
1849,611612.3
1850,372532.44
1852,116990.79
1853,302355.28
1854,696244.75
1855,-143015.55
1856,-19083.521
1857,-60264.28
1858,523484.53
1859,838148.8
1860,-22914.072
1861,1136522.5
1862,526400.44
1867,793015.6
1868,648964.94
1869,370229.38
1870,977586.7
1871,-781829.75
1872,573832.1
1873,-889938.0
1874,795907.0
1875,1418822.8
1876,-654160.94
1878,-281231.38
1879,1058983.1
1880,1077781.5
1882,605804.7
1883,592067.94
1884,4957536.0
1885,49286.64
1886,-601711.94
1887,2057367.2
1888,651668.0
1889,264984.0
1890,839736.3
1891,-1504117.0
1897,250504.83
1898,1615136.8
1899,-356175.44
1900,-1077058.1
1901,588327.7
1902,744508.25
1903,460533.12
1904,193267.42
1905,-444645.38
1906,-944366.4
1907,-325822.9
1908,378397.88
1909,904217.56
1910,1016951.25
1911,-1227686.4
1912,519872.25
1913,118973.85
1914,713066.8
1915,418486.44
1916,1351035.6
1917,635162.1
1918,-1017336.25
1919,1001871.5
1920,853329.6
1921,227987.12
1922,108738.6
1927,1800275.5
1928,-157116.45
1929,1024568.25
1930,-1254394.4
1931,-392133.62
1932,1008255.8
1933,-92825.68
1934,721091.1
1935,1507056.1
1936,1708321.8
1937,617065.56
1938,499042.8
1939,1277450.1
1940,1078773.4
1942,394556.8
1943,1009621.2
1944,438307.25
1946,617065.56
1947,208075.66
1948,427863.88
1949,875118.94
1950,993870.56
1955,2393315.5
1956,2321943.8
1957,1067655.1
1958,591854.0
1959,-107427.56
1961,-567172.4
1963,336559.56
1965,1484430.4
1966,851537.4
1967,521888.94
1969,1163447.0
1970,559772.4
1971,539075.75
1972,1285581.6
1973,500584.25
1974,1412903.2
1975,2063548.6
1976,486313.06
1977,157005.17
1978,364593.25
1980,613187.94
1982,651668.0
1983,1006963.9
1984,256156.48
1988,1258702.9
1989,59415.547
1990,-2967.3293
1991,-1024928.9
1992,-441208.2
1993,295687.75
1994,-314703.8
1996,337096.94
1997,584271.75
1998,-531559.75
1999,811778.3
2000,1402185.1
2001,1665313.2
2002,-1416506.8
2003,193773.53
2004,925132.44
2005,-68953.36
2006,882472.56
2007,321765.06
2008,544290.5
2010,718509.75
2011,229186.88
2012,-649964.2
2013,-615588.2
2014,-1929979.8
2019,1866075.0
2020,772353.1
2021,938421.2
2023,-1270301.2
2024,2037995.4
2025,867028.06
2026,156811.42
2027,1330799.0
2028,729314.94
2029,-298475.4
2030,875804.8
2031,939237.8
2032,-773621.7
2033,-24407.502
2034,1299456.0
2036,-372875.12
2037,3300363.2
2038,-208540.4
2039,365532.06
2040,878506.5
2048,534658.1
2049,225315.39
2050,135556.12
2051,75137.64
2053,-1557100.8
2054,233059.11
2055,-1145950.9
2056,550583.9
2058,1310513.0
2059,293725.47
2060,541080.56
2062,352094.12
2063,142671.72
2064,539121.56
2066,791879.56
2067,1514065.4
2068,213547.06
2069,351704.2
2070,142671.72
2071,190356.98
2076,1017724.25
2077,620549.1
2079,-924473.4
2082,1626876.6
2083,1568100.6
2084,-259229.81
2085,553362.75
2086,-376128.44
2089,227753.61
2090,495794.4
2091,1334458.9
2092,-319954.22
2093,1012213.06
2094,-207759.88
2095,389810.72
2096,-71083.87
2097,919230.8
2098,947695.5
2099,477807.34
2100,36263.812
2101,2199334.0
2102,389810.72
2106,283384.2
2107,529204.3
2108,1363336.2
2109,963009.94
2110,-658546.7
2111,-983857.6
2112,492980.62
2113,516733.5
2114,-361235.94
2115,1861452.9
2116,720154.4
2117,449078.53
2118,724500.44
2119,665165.4
2121,1147134.2
2122,-970796.5
2124,70477.32
2125,1739160.8
2126,-2120023.0
2128,1107884.9
2129,-1728429.5
2130,440774.6
2131,-745987.25
2132,-32027.385
2137,1037438.94
2138,258849.69
2139,604875.6
2140,444224.56
2141,397926.06
2142,2188946.8
2143,-456158.7
2144,956615.9
2145,-1624446.0
2146,853578.8
2147,251580.05
2148,-647947.7
2149,-236081.84
2150,-141989.5
2151,491891.94
2152,113436.07
2154,391122.5
2155,672021.0
2156,-150869.03
2157,-334469.94
2158,779017.56
2159,1034476.06
2163,3702162.5
2164,137222.22
2165,1438023.8
2166,225680.92
2168,-322352.5
2169,352061.7
2170,127863.52
2171,-366943.75
2172,1026517.6
2173,-278967.8
2174,-726561.4
2175,480111.62
2176,-1008509.06
2177,341730.94
2178,505821.88
2179,-99398.086
2180,307128.34
2181,2166786.5
2182,205054.62
2183,73147.664
2184,688142.7
2185,-359109.94
2186,111119.54
2187,626908.7
2192,1656337.1
2193,816534.0
2194,622752.9
2195,400750.44
2196,-550328.3
2198,983475.25
2199,-1641337.4
2200,-61844.914
2201,453975.88
2202,840858.4
2203,566436.94
2204,-308950.16
2205,710921.06
2207,947615.1
2208,430879.8
2209,517024.56
2210,48343.46
2211,1546039.0
2212,2436436.5
2213,516717.38
2217,37238.633
2218,-454125.2
2219,-591621.7
2220,43278.125
2221,-668528.9
2222,1365910.6
2223,-920322.7
2224,1355136.8
2225,318040.7
2226,859238.6
2227,720154.4
2230,870264.25
2231,40660.984
2232,10553.561
2233,2195670.5
2234,-1119020.8
2235,345706.03
2236,1627952.5
2238,1820287.0
