,PredictedValueSimpleModel
10838,132354.88
10839,56145.19
10840,205759.36
10864,288979.38
10865,130426.87
10866,94175.96
10867,94175.96
10894,73391.57
10895,188359.52
10896,-35461.02
10925,181345.86
10926,73391.57
10927,-4446.717
10953,15382.332
10954,420919.28
10955,73391.57
10980,154048.83
10991,-7768.6567
10992,102514.31
11001,4723750.0
11002,2127640.2
11003,923117.94
11004,1104559.5
11031,6319716.0
11032,322424.1
11033,140254.58
11059,1448248.6
11060,675341.25
11061,198595.0
11085,4767315.0
11086,2141260.0
11087,476802.72
11111,2292945.5
11112,2028003.4
11113,97277.21
11114,193339.08
11136,1855243.2
11137,420267.38
11138,305778.4
11160,2029489.5
11161,766296.3
11162,424168.47
11185,1856365.0
11186,528530.1
11187,318944.34
11188,108604.08
11210,2199693.8
11211,1038581.56
11212,13583.515
11233,726767.3
11234,844575.5
11235,163617.33
11255,723455.4
11256,443347.53
11257,6464.341
11282,1219213.0
11283,329711.97
11284,19336.535
11312,434547.25
11313,602770.94
11314,135685.77
11344,641899.94
11345,306498.75
11346,217383.77
11372,341980.62
11373,1636802.5
11374,307923.22
11375,123518.82
11376,193339.08
11404,432738.8
11405,749968.1
11406,86577.6
11407,108604.08
11434,2311561.0
11435,399853.44
11436,135806.73
11457,948633.2
11458,1084996.5
11459,680011.3
11485,312822.1
11486,110348.06
11487,99144.8
11516,132387.45
11517,581516.44
11518,109221.625
11544,95978.484
11545,262692.47
11546,177870.5
11573,11243.433
11574,15579.399
11598,146682.38
11599,141905.78
11600,36805.81
11601,160192.94
11624,297599.72
11625,113439.72
11626,16903.86
11646,284893.34
11648,128318.65
11649,11489.165
11673,263020.2
11674,7602.69
11675,16903.86
11701,211049.9
11702,96326.91
11703,11243.433
11731,262692.47
11732,103725.06
11763,985342.7
11764,681051.7
11765,303264.7
11766,16903.86
11789,429073.7
11790,251712.08
11816,676398.7
11817,876795.25
11818,494613.3
11839,2520600.8
11840,1876965.2
11841,545071.44
11865,1171454.9
11866,755181.56
11867,329886.38
11888,13241397.0
11889,1430813.1
11911,1825101.0
11912,1041665.56
11936,1335560.9
11937,1403191.6
11938,444585.25
11939,396976.44
11964,1556337.9
11965,457177.3
11988,1607725.4
11989,553737.1
11990,132508.05
12013,405534.84
12014,311971.47
12015,147820.67
12038,127027.19
12039,464581.12
12068,2193783.2
12069,317702.62
12070,177382.67
12071,64699.96
12097,341835.2
12098,534779.4
12099,330226.47
12122,556628.56
12123,449426.12
12124,348469.9
12148,462837.72
12149,729007.1
12175,780615.3
12176,305027.0
12177,95449.52
12204,149102.9
12205,457684.38
12229,543651.1
12230,344768.9
12231,56002.05
12262,576557.25
12263,73004.88
