,LeagueCountry,NationalLeagueLevel,InternationalTeam,League,Club,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Value
1493,Deutschland,1.Liga,,Bundesliga,VfL Bochum,22.0,1537.0,0,0,0.0,1,100000.0
1518,Deutschland,2.Liga,Portugal U21,2. Bundesliga,Hamburger SV,30.0,1416.0,0,1,6.0,0,1200000.0
1519,Deutschland,2.Liga,,2. Bundesliga,Hamburger SV,24.0,320.0,0,0,0.0,1,400000.0
1520,Deutschland,2.Liga,,2. Bundesliga,Hamburger SV,21.0,685.0,0,0,0.0,1,200000.0
1521,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,Hamburger SV,34.0,2511.0,0,1,3.0,0,150000.0
1548,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,F. Düsseldorf,25.0,1416.0,0,1,0.0,0,1000000.0
1549,Deutschland,2.Liga,,2. Bundesliga,F. Düsseldorf,34.0,2146.0,0,0,0.0,0,200000.0
1550,Deutschland,2.Liga,,2. Bundesliga,F. Düsseldorf,21.0,1050.0,0,0,0.0,1,200000.0
1577,Deutschland,2.Liga,Dänemark,2. Bundesliga,1.FC Nürnberg,25.0,136.0,0,0,0.0,0,650000.0
1578,Deutschland,2.Liga,,2. Bundesliga,1.FC Nürnberg,31.0,1781.0,0,0,0.0,0,600000.0
1579,Deutschland,2.Liga,Deutschland U19,2. Bundesliga,1.FC Nürnberg,29.0,685.0,0,1,0.0,0,200000.0
1580,Deutschland,2.Liga,,2. Bundesliga,1.FC Nürnberg,21.0,320.0,0,0,0.0,1,150000.0
1610,Deutschland,2.Liga,,2. Bundesliga,Darmstadt 98,30.0,1416.0,0,0,0.0,0,700000.0
1611,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,Darmstadt 98,27.0,320.0,0,1,0.0,0,200000.0
1612,Deutschland,2.Liga,,2. Bundesliga,Darmstadt 98,26.0,685.0,0,0,0.0,0,125000.0
1637,Deutschland,2.Liga,Bosnien,2. Bundesliga,FC St. Pauli,27.0,685.0,1,0,6.0,0,800000.0
1638,Deutschland,2.Liga,Deutschland U19,2. Bundesliga,FC St. Pauli,24.0,1018.0,0,1,1.0,0,200000.0
1639,Deutschland,2.Liga,Deutschland U20,2. Bundesliga,FC St. Pauli,33.0,282.0,0,1,2.0,0,200000.0
1640,Deutschland,2.Liga,,2. Bundesliga,FC St. Pauli,25.0,624.0,0,0,0.0,0,50000.0
