,0
15912,54331.06
15937,398728.16
15938,60436.363
15960,397873.5
15961,53344.16
15962,47173.992
15963,48779.086
15990,154797.9
15992,43704.14
16020,306216.16
16021,98852.734
16022,58496.523
16049,352577.12
16077,196774.19
16078,48898.94
16103,1197938.8
16104,500989.06
16131,1799792.2
16132,702553.7
16133,45152.03
16159,98447.31
16160,48771.73
16188,800640.56
16189,303433.16
16216,800299.44
16217,51131.863
16218,47829.574
16245,696650.06
16246,298842.34
16275,398800.7
16276,101408.99
16300,396249.75
16301,148983.25
16302,97046.5
16332,499427.66
16333,94797.18
16360,507500.2
16361,198199.81
16386,352078.2
16387,104566.94
16440,505820.34
16468,500625.84
16470,50351.387
16496,393445.7
16497,199407.73
16559,1999638.5
16560,1996623.1
16561,244150.66
16587,900524.06
16588,508520.4
16589,353055.5
16617,4501093.5
16645,74207.836
16671,697500.0
16672,124787.39
16696,346888.12
16727,248688.0
16728,220315.66
16729,53463.83
16753,247936.77
16754,198944.02
16755,26586.572
16781,344069.84
16808,450189.8
16836,396021.5
16837,299074.72
16866,98249.61
16893,258932.52
16894,205091.95
16895,145837.14
16944,257620.62
16945,252083.44
17000,1498259.8
17001,596027.6
17027,1502592.2
17028,402816.72
17029,207641.94
17030,42313.656
17059,499723.66
17060,398884.38
17089,1802900.8
17121,1498550.0
17122,153216.47
17158,1400138.0
17189,399269.72
17190,400612.75
17191,67790.09
17228,598818.0
17229,496899.84
17230,52693.164
17261,993336.3
17262,150098.58
17263,90952.766
17294,348651.53
17324,649755.75
17325,189694.2
17326,23032.207
17352,702147.25
17353,597335.94
17383,655469.0
17385,149536.84
17413,347876.28
17414,148446.12
17415,101425.89
17445,547639.6
17446,254939.27
17475,499306.03
17504,749645.9
17505,303081.1
17533,399147.94
17561,1001693.25
17562,205304.95
17586,791933.44
17587,408127.9
17616,595798.56
17617,145611.08
17640,501988.7
17669,593029.8
17694,996531.44
17718,993593.94
17743,152151.45
17770,45795.004
17800,153335.48
17828,298374.12
17829,306605.1
17881,199629.44
17883,22750.748
17919,307582.4
17942,1499030.2
17943,394345.9
17973,798287.8
18002,498558.2
18026,1293368.2
18048,909167.4
18076,707024.7
18077,196875.2
18101,103564.555
18120,497381.16
18148,1395132.4
18172,447741.56
18198,496356.12
18224,295268.4
18255,302874.1
18281,695708.2
18306,302796.47
18307,104341.625
18333,207141.33
